Tipo	Pregunta	Gold standard	Respuesta bot	Score		Aluc.	Comentario juez
profesional	¿Cuándo atiende la Dra. Neffen Débora?	La Dra. Neffen Débora, fonoaudióloga, atiende los miércoles de 16:30 a 18:00 horas en	La Dra. Neffen Débora, especialista en Fonoaudiología, atiende los miércoles de 16:30	4.5	⚠️	medio	La respuesta es completa y correcta en los datos verificables, pero agrega la direcci
profesional	¿Dónde puedo ir a ver a la fonoaudióloga?	La Dra. Neffen Débora atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, Sa	Puedes ver a las fonoaudiólogas en el Centro Médico MutuaLyF, ubicado en Junín 2956,	4.0	⚠️	medio	El bot da la dirección correcta pero no menciona a la Dra. Neffen Débora y usa el plu
profesional	¿Cómo saco turno con la fonoaudióloga Neffen?	Para sacar turno con la Dra. Neffen Débora, fonoaudióloga, debes comunicarte con Mutu	Para sacar un turno con la fonoaudióloga Neffen Debora, puedes gestionar el turno de	4.5	⚠️	medio	La respuesta es completa y correcta en los datos verificables, pero agrega múltiples
profesional	¿Cuándo atiende la Dra. Noriega de podología?	La Dra. Evangelina Magdalena Noriega atiende los miércoles de 12:00 a 17:45 horas y l	La Dra. Noriega de podología atiende en el Centro Médico MutuaLyF, Junín 2956, Santa	4.8	⚠️	medio	La respuesta es correcta y completa en horarios, pero agrega la dirección 'Junín 2956
profesional	¿El viernes atiende podología? ¿A qué hora?	Sí, los viernes hay atención de podología con la Dra. Noriega de 08:30 a 12:15 horas	Sí, el viernes atiende podología. La profesional es Evangelina Magdalena Noriega y su	4.5	⚠️	medio	La respuesta es correcta en los datos clave (profesional y horario), pero agrega el n
profesional	¿Dónde puedo sacar turno con la podóloga?	La Dra. Evangelina Magdalena Noriega atiende en el Centro Médico MutuaLyF ubicado en	Los turnos con la podóloga se pueden gestionar a través de Mi MutuaLyF Web en https:/	3.8	⚠️	medio	El bot responde la pregunta con múltiples canales útiles para sacar turno, pero omite
profesional	¿Cuándo atiende la Dra. Ocampo de ginecología?	La Dra. María Gabriela Ocampo atiende los lunes de 09:00 a 12:10 horas en el Centro M	La Dra. Ocampo de ginecología atiende los lunes de 09:00 a 12:10 horas en el Centro M	4.8	✅	bajo	La respuesta es correcta y completa en todos los datos clave (día, horario y direcció
profesional	¿Dónde puedo sacar turno con la ginecóloga Ocampo?	Podés sacar turno con la Dra. María Gabriela Ocampo en el Centro Médico MutuaLyF, ubi	Los turnos con la ginecóloga María Gabriela Ocampo se pueden gestionar a través de:	4.5	⚠️	medio	La respuesta es completa y útil al proveer múltiples canales de contacto y la ubicaci
profesional	¿La Dra. Ocampo atiende los sábados?	No, la Dra. María Gabriela Ocampo atiende únicamente los lunes de 09:00 a 12:10 horas	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no inventó datos (faithfulness alto) pero falló en proveer la información corr
profesional	¿Qué días atiende el Dr. Oitana de ginecología?	El Dr. Hector Fabián Oitana atiende los jueves de 10:30 a 11:20 horas en el Centro Mé	El Dr. Oitana Héctor Fabián atiende los jueves de 10:30 a 11:20 horas en el Centro Mé	5.0	✅	bajo	La respuesta es correcta y completa, con todos los datos coincidentes con el ground t
profesional	¿Dónde atiende el ginecólogo Oitana?	El Dr. Hector Fabián Oitana atiende en el Centro Médico MutuaLyF, ubicado en Junín 29	Oitana Héctor Fabián atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, San	4.8	⚠️	medio	La respuesta es correcta y completa respecto al ground truth, pero agrega información
profesional	¿Cómo saco turno con el Dr. Oitana de ginecología?	Para sacar turno con el Dr. Hector Fabián Oitana, podés comunicarte a la sede de Mutu	Para sacar un turno con el Dr. Oitana de ginecología, puedes hacerlo de las siguiente	4.0	⚠️	medio	La respuesta es muy completa y útil, pero incluye datos no verificables en el ground
profesional	¿Qué días atiende la Dra. Paolantonio?	La Dra. Pilar María Paolantonio atiende los martes y jueves de 14:30 a 17:20 horas en	La Dra. Paolantonio atiende los martes de 14:30 a 17:20 horas y los jueves de 14:30 a	4.5	✅	bajo	La respuesta es correcta en días y horarios pero omite el nombre completo de la profe
profesional	¿Hay psicólogo disponible en MutuaLyF? ¿Cuál es el nombre?	Sí, contamos con la Dra. Pilar María Paolantonio, especialista en Psicología, que ati	Sí, hay varios psicólogos disponibles en MutuaLyF. Aquí tienes algunos nombres: - Lu	2.8	❌	alto	El bot inventó una lista extensa de psicólogos que no figuran en el ground truth, pre
profesional	¿Hasta qué hora atiende la psicóloga los jueves?	La Dra. Paolantonio atiende los jueves hasta las 17:20 horas. El horario es de 14:30	La psicóloga Abba Melina Vanesa atiende los jueves de 14:00 a 16:00 horas. Si necesit	2.3	❌	alto	El bot respondió la pregunta pero con datos completamente incorrectos: mencionó una p
profesional	¿Cuándo atiende la Dra. Pedroni?	La Dra. Catalina Pedroni atiende los lunes y miércoles de 09:30 a 10:50 horas en el C	La Dra. Pedroni atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, los lunes	4.8	✅	bajo	La respuesta del bot es correcta y completa en todos los datos clave (días, horario y
profesional	¿Qué médica de Clínica Médica tienen?	Contamos con la Dra. Catalina Pedroni, especialista en Clínica Médica. Atiende sin in	En Clínica Médica, tenemos a las siguientes profesionales: - **Marin Liliana Mariel*	2.5	❌	alto	El bot responde lo preguntado pero proporciona médicas completamente distintas a la i
profesional	¿La Dra. Pedroni atiende el miércoles?	Sí, la Dra. Catalina Pedroni atiende todos los miércoles de 09:30 a 10:50 horas en el	Sí, la Dra. Pedroni atiende el miércoles de 09:30 a 10:50 horas en el Centro Médico M	4.5	✅	bajo	La respuesta es correcta y útil pero omite el nombre completo de la doctora (Catalina
profesional	¿Cuándo atiende el psicólogo Pablo Pesole?	El psicólogo Pablo Pesole atiende los jueves de 08:00 a 09:30 horas en el Centro Médi	Pablo Pesole atiende los jueves de 08:00 a 09:30 horas en el Centro Médico MutuaLyF,	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth, con todos los datos correctos
profesional	¿Dónde consulto con el Dr. Pesole de psicología?	El Dr. Pablo Pesole de psicología atiende en el Centro Médico MutuaLyF, ubicado en Ju	El Dr. Pablo Pesole atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, Sant	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (jueves
profesional	¿Qué días de la semana atiende el psicólogo Pesole?	El psicólogo Pablo Pesole atiende solamente los jueves, en el horario de 08:00 a 09:3	El psicólogo Pablo Pesole atiende los jueves de 08:00 a 09:30 horas.	4.8	✅	bajo	La respuesta es correcta y relevante, aunque omite el adverbio 'solamente' que enfati
profesional	¿Cuándo atiende el Dr. Prieu de otorrinolaringología?	El Dr. Agustín Prieu atiende los lunes de 14:00 a 14:50 horas en el Centro Médico Mut	Hay dos profesionales con el apellido Prieu en otorrinolaringología: 1. **Dr. Prieu	3.8	⚠️	medio	El bot responde la pregunta y los datos del Dr. Agustín Prieu son correctos, pero agr
profesional	¿Tienen algún otorrinolaringólogo disponible? ¿Dónde atiende?	Sí, contamos con el Dr. Agustín Prieu como especialista en Otorrinolaringología. Atie	Sí, tenemos otorrinolaringólogos disponibles: 1. **Guillermo Prieu** - Centro: Ce	3.3	❌	alto	El bot inventa un médico adicional ('Guillermo Prieu') que no figura en el ground tru
profesional	¿Cómo hago para sacar turno con el Dr. Prieu?	Para sacar turno con el Dr. Agustín Prieu, debes comunicarte con nuestro Centro Médic	Para sacar un turno con el Dr. Prieu, puedes gestionar el turno a través de: 1. Mi M	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (web, turnero o
profesional	¿Cuándo atiende el Dr. Guillermo Prieu?	El Dr. Guillermo Prieu, otorrinolaringólogo, atiende los lunes de 08:45 a 11:15 horas	El Dr. Guillermo Prieu atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, en	4.8	⚠️	medio	La respuesta es correcta y completa en cuanto a horarios, pero agrega la dirección fí
profesional	¿Dónde atiende el otorrinolaringólogo Prieu?	El Dr. Guillermo Prieu atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, S	El otorrinolaringólogo Prieu atiende en el Centro Médico MutuaLyF, ubicado en Junín 2	4.5	✅	bajo	La respuesta es correcta y completa en cuanto a la ubicación, aunque omite el nombre
profesional	¿El Dr. Prieu atiende los jueves? Necesito sacar turno de garganta	Sí, el Dr. Guillermo Prieu atiende los jueves de 12:30 a 16:00 horas. Él es otorrinol	Sí, el Dr. Prieu Guillermo, especialista en Otorrinolaringología, atiende los jueves	4.8	⚠️	medio	La respuesta es correcta y completa en los datos clave, pero menciona canales de cont
profesional	¿Cuándo atiende la enfermera Gilda Rodríguez?	La enfermera Gilda Rodríguez atiende en el Centro Médico MutuaLyF (Junín 2956, Santa	La enfermera Gilda Rodríguez atiende en el Centro Médico MutuaLyF en los siguientes h	4.2	⚠️	medio	La respuesta es correcta en todos los horarios pero omite la dirección del centro méd
profesional	¿La enfermera Rodríguez atiende los martes?	Sí, la enfermera Gilda Rodríguez atiende los martes de 13:00 a 15:30 horas en el Cent	Sí, la enfermera Rodríguez Gilda Lara atiende los martes de 13:00 a 15:30 horas en el	4.0	⚠️	medio	El bot agrega un segundo apellido 'Lara' que no figura en el ground truth, lo que con
profesional	¿Dónde puedo sacar turno con la enfermera Gilda Rodríguez?	La enfermera Gilda Rodríguez atiende en el Centro Médico MutuaLyF, ubicado en Junín 2	Los turnos con la enfermera Gilda Rodríguez se pueden gestionar a través de: 1. Mi M	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (web, turnero o
profesional	¿Cuándo atiende el Dr. Román de neurocirugia?	El Dr. Guillermo Daniel Román atiende los viernes de 10:40 a 12:20 horas en el Centro	El Dr. Román Guillermo Daniel, especialista en neurocirugía, atiende los viernes de 1	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con el agregado menor
profesional	¿Hay algún neurocirujano disponible en MutuaLyF?	Sí, contamos con el Dr. Guillermo Daniel Román especializado en neurocirugia. Atiende	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.0	❌	bajo	El bot no encontró información que sí existe en los documentos, resultando en una res
profesional	¿Dónde puedo sacar turno con el Dr. Román?	Podés sacar turno con el Dr. Guillermo Daniel Román en el Centro Médico MutuaLyF ubic	Los turnos con el Dr. Román Guillermo Daniel, especialista en Neurocirugía, se pueden	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (0800, WhatsApp
profesional	¿Cuándo atiende el Dr. Savarino?	El Dr. Roberto Savarino atiende los lunes de 16:00 a 18:00 horas y los miércoles de 0	El Dr. Savarino atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, en los si	4.8	⚠️	medio	La respuesta es correcta y completa en horarios, pero agrega la dirección exacta del
profesional	¿Dónde atiende el especialista en Eco Doppler Cardiaco?	El Dr. Roberto Savarino atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956,	El especialista en Eco Doppler Cardiaco, Roberto Savarino, atiende en el Centro Médic	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, incluyendo nombre del
profesional	¿El Dr. Savarino atiende los viernes?	No, el Dr. Roberto Savarino no atiende los viernes. Su horario de atención es los lun	No, el Dr. Savarino atiende los lunes de 16:00 a 18:00 horas y los miércoles de 08:20	5.0	✅	bajo	La respuesta es completamente correcta, relevante y consistente con el ground truth,
profesional	¿Cuándo atiende la Dra. Serravalle de reumatología?	La Dra. Priscila Serravalle atiende los viernes de 11:00 a 14:30 horas en el Centro M	La Dra. Serravalle de reumatología atiende los viernes de 11:00 a 14:30 horas en el C	4.8	✅	bajo	La respuesta es correcta y completa en todos los datos clave (día, horario y direcció
profesional	¿Dónde puedo ver a un reumatólogo en MutuaLyF?	Contamos con la Dra. Priscila Serravalle, especialista en Reumatología, que atiende e	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿La Dra. Serravalle atiende los sábados?	No, la Dra. Priscila Serravalle atiende únicamente los viernes de 11:00 a 14:30 horas	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucina ni inventa datos, pero falla en completitud y relevancia porque ten
profesional	¿Qué días atiende la Dra. Silvestre de radiología?	La Dra. Natalia Silvestre atiende los miércoles de 12:30 a 14:50 horas y los viernes	La Dra. Silvestre de Radiología atiende los siguientes días: 1. Miércoles de 12:30 a	5.0	✅	bajo	La respuesta del bot es completamente correcta, relevante y consistente con el ground
profesional	¿Dónde puedo ir a hacer una radiología con la Dra. Silvestre?	La Dra. Natalia Silvestre atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956	Puedes hacerte una radiología con la Dra. Silvestre en el Centro Médico MutuaLyF, ubi	4.0	⚠️	medio	El bot responde correctamente la ubicación pero agrega horarios específicos que no fi
profesional	¿Cómo hago para sacar turno con la doctora de radiología?	Para sacar turno con la Dra. Natalia Silvestre (Radiología), debe comunicarse con el	Para sacar un turno con la doctora Silvestre Natalia, especialista en Radiología, pue	4.3	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de contacto (web, turnero
profesional	¿Cuándo atiende la Dra. Szmigielski?	La Dra. Mónica Rita Szmigielski atiende los lunes de 12:00 a 15:40 horas, miércoles d	La Dra. Szmigielski atiende en el Centro Médico MutuaLyF en los siguientes horarios:	5.0	✅	bajo	La respuesta del bot es exacta, completa y coincide perfectamente con el ground truth
profesional	¿Tienen pediatra disponible? ¿Dónde atiende?	Sí, contamos con la Dra. Mónica Rita Szmigielski como pediatra. Atiende en el Centro	Sí, hay pediatras disponibles en el Centro Médico de MutuaLyF. Los profesionales son:	4.3	⚠️	medio	La respuesta es completa y útil, pero incorpora una segunda pediatra (María Fiorela C
profesional	¿La Dra. Szmigielski atiende los martes?	No, la Dra. Szmigielski no atiende los martes. Sus días de atención son lunes, miérco	No, la Dra. Szmigielski atiende los lunes, miércoles y jueves. Si necesitas más infor	4.0	⚠️	bajo	La respuesta es correcta en lo esencial pero omite los horarios de atención, que son
profesional	¿Cuándo atiende la Dra. Tellechea que es psiquiatra?	La Dra. Emilia Tellechea atiende los lunes de 15:30 a 18:20 horas en el Centro Médico	La Dra. Tellechea, que es psiquiatra, atiende los lunes de 15:30 a 18:20 horas en el	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, incluyendo todos los
profesional	¿Dónde puedo sacar turno con la psiquiatra Tellechea?	La Dra. Emilia Tellechea atiende en el Centro Médico MutuaLyF ubicado en Junín 2956,	Los turnos con la psiquiatra Tellechea Emilia se pueden gestionar a través de: 1. Mi	4.3	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de contacto adicionales (w
profesional	¿Hay algún psiquiatra disponible en MutuaLyF?	Sí, contamos con la Dra. Emilia Tellechea como psiquiatra. Atiende los lunes de 15:30	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.0	❌	bajo	El bot no alucinó datos, pero falló en recuperar información existente sobre la Dra.
profesional	¿Cuándo atiende el Dr. Valdés de traumatología?	El Dr. Mariano Arturo Valdés atiende los viernes de 10:00 a 11:10 horas en el Centro	El Dr. Valdés atiende los viernes de 10:00 a 11:10 horas en el Centro Médico MutuaLyF	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth y contiene todos los datos cla
profesional	¿Qué médico traumatólogo tienen en MutuaLyF?	Contamos con el Dr. Mariano Arturo Valdés, especialista en Traumatología, quien atien	En el Centro Médico MutuaLyF hay dos médicos traumatólogos: - **Abraham Juan Carlos*	2.3	❌	alto	El bot responde la pregunta con formato adecuado pero inventa dos traumatólogos (Abra
profesional	¿Cómo hago para sacar turno con el Dr. Valdés de traumatología?	El Dr. Mariano Arturo Valdés atiende los viernes de 10:00 a 11:10 en el Centro Médico	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿Cuándo atiende la Dra. Viglietti?	La Dra. Silvina Fabiana Viglietti atiende los miércoles de 13:00 a 14:50 horas y los	La Dra. Silvina Fabiana Viglietti atiende en el Centro Médico MutuaLyF, Junín 2956, S	4.8	⚠️	medio	La respuesta es correcta y completa en horarios, pero agrega la dirección 'Junín 2956
profesional	¿Qué especialista de diagnóstico por imágenes tienen en MutuaLyF?	Contamos con la Dra. Silvina Fabiana Viglietti, especialista en Diagnóstico por Imáge	El especialista en diagnóstico por imágenes en MutuaLyF es Silvina Fabiana Viglietti.	4.3	⚠️	medio	La respuesta agrega horarios de atención específicos que no figuran en el ground trut
profesional	¿La Dra. Viglietti atiende los lunes?	No, la Dra. Viglietti no atiende los lunes. Sus días de atención son miércoles (13:00	No, la Dra. Viglietti atiende los miércoles de 13:00 a 14:50 horas y los viernes de 1	5.0	✅	bajo	La respuesta del bot es equivalente al ground truth en todos los aspectos: confirma q
profesional	¿Cuándo atiende el cardiólogo Vignatti?	El Dr. Agustín Vignatti atiende los lunes de 16:00 a 16:30 horas y los miércoles de 1	El cardiólogo Vignatti Agustín atiende en el Centro Médico MutuaLyF, Junín 2956, Sant	4.8	⚠️	medio	La respuesta es completa y correcta en horarios, pero agrega la dirección exacta del
profesional	¿Dónde puedo ir a atenderme con el Dr. Vignatti?	El Dr. Agustín Vignatti atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956,	Puedes atenderte con el Dr. Vignatti en el Centro Médico MutuaLyF, ubicado en Junín 2	4.0	⚠️	medio	El bot responde correctamente la ubicación pero agrega horarios específicos que no fi
profesional	¿El cardiólogo Vignatti atiende los sábados?	No, el Dr. Agustín Vignatti no atiende los sábados. Sus horarios de atención son los	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿Cuándo atiende el Dr. Vignatti?	El Dr. Hugo Alberto Vignatti atiende los lunes de 09:00 a 11:50 horas y los jueves de	El Dr. Vignatti, especialista en Cardiología, atiende en el Centro Médico MutuaLyF, J	2.3	❌	alto	El bot respondió la pregunta con formato adecuado pero los horarios proporcionados (l
profesional	¿Dónde se atiende el ecografista Vignatti?	El Dr. Hugo Alberto Vignatti atiende en el Centro Médico MutuaLyF, ubicado en Junín 2	El ecografista Vignatti Hugo Alberto se atiende en el Centro Médico MutuaLyF, ubicado	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿El Dr. Vignatti atiende los miércoles?	No, el Dr. Vignatti no atiende los miércoles. Sus días de atención son lunes (09:00 a	Sí, el Dr. Vignatti atiende los miércoles de 16:00 a 17:40 horas en el Centro Médico	2.0	❌	alto	El bot afirma que el Dr. Vignatti atiende los miércoles con un horario inventado, cua
profesional	¿Cuándo atiende el Dr. Vivas Méndez de tocoginecología?	El Dr. Sergio Leonardo Vivas Méndez atiende los lunes de 16:30 a 18:30 horas, martes	El Dr. Vivas Méndez de tocoginecología atiende en el Centro Médico MutuaLyF en los si	5.0	✅	bajo	La respuesta del bot es completamente correcta, incluye todos los horarios del ground
profesional	¿Dónde puedo sacar turno con el especialista en tocoginecología?	El Dr. Sergio Leonardo Vivas Méndez atiende en el Centro Médico MutuaLyF ubicado en J	Los turnos con el especialista en tocoginecología, Sergio Leonardo Vivas Méndez, se p	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (web, turnero o
profesional	¿El Dr. Vivas atiende los miércoles?	No, el Dr. Sergio Leonardo Vivas Méndez no atiende los miércoles. Sus días de atenció	No, el Dr. Vivas atiende los lunes, martes y jueves. No tiene atención los miércoles.	4.8	✅	bajo	La respuesta es correcta y relevante, confirmando que el Dr. Vivas no atiende los mié
profesional	¿Cuándo atiende el Dr. Wenger de cirugía general?	El Dr. Wenger Luciano Martín atiende los martes de 12:00 a 14:45 horas en el Centro M	El Dr. Wenger Matías Guillermo atiende los jueves de 13:30 a 14:45 horas. El Dr. Weng	3.5	⚠️	medio	El bot incluye correctamente al Dr. Wenger Luciano Martín pero agrega un segundo médi
profesional	¿Dónde puedo consultar con un cirujano en MutuaLyF?	Contamos con el Dr. Wenger Luciano Martín, especialista en Cirugía General, que atien	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó datos, pero falló en recuperar información disponible sobre el Dr.
profesional	¿El Dr. Wenger atiende los lunes o tengo que ir otro día?	El Dr. Wenger Luciano Martín solo atiende los martes de 12:00 a 14:45 horas. No tiene	El Dr. Wenger Luciano Martín atiende los martes de 12:00 a 14:45 horas, y el Dr. Weng	3.8	⚠️	medio	El bot responde correctamente que no atienden los lunes y acierta con los datos del D
profesional	¿Cuándo atiende el Dr. Wenger de cirugía general?	El Dr. Matías Guillermo Wenger atiende los jueves de 13:30 a 14:45 horas en el Centro	El Dr. Wenger Matías Guillermo atiende los jueves de 13:30 a 14:45 horas. El Dr. Weng	4.3	⚠️	medio	El bot responde correctamente los datos del Dr. Matías Wenger pero agrega información
profesional	¿Dónde puedo atenderme con el Dr. Wenger?	El Dr. Matías Guillermo Wenger atiende en el Centro Médico MutuaLyF, ubicado en Junín	Puedes atenderte con el Dr. Wenger en el Centro Médico MutuaLyF, ubicado en Junín 295	4.5	⚠️	medio	La respuesta es correcta y útil, pero la pregunta de seguimiento sobre 'algún Dr. Wen
